PLIK WEJSCIOWY	CZAS[ns]
./dataFiles/tsp_10.txt	178800
./dataFiles/tsp_10.txt	181800
./dataFiles/tsp_10.txt	195000
./dataFiles/tsp_10.txt	252400
./dataFiles/tsp_10.txt	186100
./dataFiles/tsp_10.txt	214100
./dataFiles/tsp_10.txt	189600
./dataFiles/tsp_10.txt	172500
./dataFiles/tsp_10.txt	232000
./dataFiles/tsp_10.txt	192700
./dataFiles/tsp_10.txt	177300
./dataFiles/tsp_10.txt	170600
./dataFiles/tsp_10.txt	172000
./dataFiles/tsp_10.txt	189400
./dataFiles/tsp_10.txt	184300
./dataFiles/tsp_10.txt	180100
./dataFiles/tsp_10.txt	173500
./dataFiles/tsp_10.txt	171600
./dataFiles/tsp_10.txt	181200
./dataFiles/tsp_10.txt	184300
./dataFiles/tsp_10.txt	176700
./dataFiles/tsp_10.txt	172300
./dataFiles/tsp_10.txt	189500
./dataFiles/tsp_10.txt	204400
./dataFiles/tsp_10.txt	186900
./dataFiles/tsp_10.txt	172000
./dataFiles/tsp_10.txt	226800
./dataFiles/tsp_10.txt	190200
./dataFiles/tsp_10.txt	175000
./dataFiles/tsp_10.txt	180100
./dataFiles/tsp_10.txt	168800
./dataFiles/tsp_10.txt	180300
./dataFiles/tsp_10.txt	179000
./dataFiles/tsp_10.txt	176200
./dataFiles/tsp_10.txt	339000
./dataFiles/tsp_10.txt	194600
./dataFiles/tsp_10.txt	189500
Najkrotsza sciezka: 0 3 4 2 8 7 6 9 1 5 
Dlugosc tej sciezki to: 212

Jest gorsza (dluzsza) od optymalnej o: 0
./dataFiles/tsp_12.txt	338300
./dataFiles/tsp_12.txt	191400
./dataFiles/tsp_12.txt	169700
./dataFiles/tsp_12.txt	131500
./dataFiles/tsp_12.txt	124200
./dataFiles/tsp_12.txt	136600
./dataFiles/tsp_12.txt	159500
./dataFiles/tsp_12.txt	144200
./dataFiles/tsp_12.txt	172300
./dataFiles/tsp_12.txt	141500
./dataFiles/tsp_12.txt	137600
./dataFiles/tsp_12.txt	135600
./dataFiles/tsp_12.txt	141100
./dataFiles/tsp_12.txt	138300
./dataFiles/tsp_12.txt	141200
./dataFiles/tsp_12.txt	139700
./dataFiles/tsp_12.txt	129300
./dataFiles/tsp_12.txt	123300
./dataFiles/tsp_12.txt	123200
./dataFiles/tsp_12.txt	123100
./dataFiles/tsp_12.txt	133300
./dataFiles/tsp_12.txt	125600
./dataFiles/tsp_12.txt	123600
./dataFiles/tsp_12.txt	121700
./dataFiles/tsp_12.txt	133500
./dataFiles/tsp_12.txt	125300
./dataFiles/tsp_12.txt	122900
./dataFiles/tsp_12.txt	124200
./dataFiles/tsp_12.txt	121100
./dataFiles/tsp_12.txt	121800
./dataFiles/tsp_12.txt	123800
./dataFiles/tsp_12.txt	124500
./dataFiles/tsp_12.txt	122200
./dataFiles/tsp_12.txt	118800
./dataFiles/tsp_12.txt	121300
./dataFiles/tsp_12.txt	121600
./dataFiles/tsp_12.txt	148600
./dataFiles/tsp_12.txt	153800
./dataFiles/tsp_12.txt	122700
./dataFiles/tsp_12.txt	122300
./dataFiles/tsp_12.txt	141300
./dataFiles/tsp_12.txt	131500
./dataFiles/tsp_12.txt	153500
./dataFiles/tsp_12.txt	128800
./dataFiles/tsp_12.txt	130700
./dataFiles/tsp_12.txt	142100
./dataFiles/tsp_12.txt	125000
./dataFiles/tsp_12.txt	120900
./dataFiles/tsp_12.txt	121400
./dataFiles/tsp_12.txt	117300
Najkrotsza sciezka: 0 1 8 4 6 2 11 9 7 5 3 10 
Dlugosc tej sciezki to: 264

Jest gorsza (dluzsza) od optymalnej o: 0
./dataFiles/tsp_13.txt	495500
./dataFiles/tsp_13.txt	325200
./dataFiles/tsp_13.txt	290500
./dataFiles/tsp_13.txt	293100
./dataFiles/tsp_13.txt	284200
./dataFiles/tsp_13.txt	305200
./dataFiles/tsp_13.txt	286100
./dataFiles/tsp_13.txt	277300
./dataFiles/tsp_13.txt	287100
./dataFiles/tsp_13.txt	283100
./dataFiles/tsp_13.txt	279400
./dataFiles/tsp_13.txt	285000
./dataFiles/tsp_13.txt	281100
./dataFiles/tsp_13.txt	279600
./dataFiles/tsp_13.txt	308100
./dataFiles/tsp_13.txt	278600
./dataFiles/tsp_13.txt	292800
./dataFiles/tsp_13.txt	282700
./dataFiles/tsp_13.txt	278200
./dataFiles/tsp_13.txt	284400
./dataFiles/tsp_13.txt	282600
./dataFiles/tsp_13.txt	310900
./dataFiles/tsp_13.txt	299600
./dataFiles/tsp_13.txt	364200
./dataFiles/tsp_13.txt	317400
Najkrotsza sciezka: 0 12 1 8 4 6 2 11 9 7 5 3 10 
Dlugosc tej sciezki to: 269

Jest gorsza (dluzsza) od optymalnej o: 0
./dataFiles/tsp_14.txt	2108700
